size,path,id,color,name,entityID,order,s_height,height,guid,ground_lev,rise_by,level,coordinates
1000,city/house/house.42,house.42,"rgb(189, 186, 0)",,62a83d26-951f-42e9-82b8-d1aa7a6b9192,1.0,0.0,8.0,cf08e65f-75fd-43de-b98d-ce287dc78998,Raise or lower,8.0,0.0,"[[[119.97500571270774, 30.52129652019013], [119.97502499565415, 30.521191734943073], [119.9748104690766, 30.521162509691443], [119.97479164520006, 30.521267317850807], [119.97500571270774, 30.52129652019013]]]"
1000,city/house/house.43,house.43,"rgb(189, 186, 0)",,630eb0dc-8aea-4582-b604-9259724bfb16,1.0,0.0,4.0,81e348ad-4273-4d26-921e-a840bb963a23,Raise or lower,4.0,0.0,"[[[119.97408765515337, 30.520476523825057], [119.97407615030305, 30.520423181901805], [119.97404532529643, 30.52042762230517], [119.974055986047, 30.520481302198466], [119.97408765515337, 30.520476523825057]]]"
1000,city/house/house.44,house.44,"rgb(189, 186, 0)",,684d5a5b-446c-4e29-8e18-d7a9ba8df542,1.0,0.0,16.0,85001d88-de4b-4643-9bc2-7192e58cd794,Raise or lower,16.0,0.0,"[[[119.97603076601534, 30.52191962345806], [119.97579053858396, 30.52188656198435], [119.97576196970074, 30.52204223836417], [119.97600184270514, 30.522075229607697], [119.97603076601534, 30.52191962345806]]]"
1000,city/house/house.45,house.45,"rgb(189, 186, 0)",,6fe0b159-312d-405a-9dcc-36f4aa937102,1.0,0.0,4.0,5988dff8-8aef-4ff2-80f4-9b1a11f829cf,Raise or lower,4.0,0.0,"[[[119.9734949626897, 30.52073396159727], [119.97349666462505, 30.520788121802994], [119.97352912982913, 30.520787813872435], [119.9735271178185, 30.520733275200683], [119.9734949626897, 30.52073396159727]]]"
1000,city/house/house.46,house.46,"rgb(189, 186, 0)",,7054983d-a84e-416f-90b3-81a270f7ad09,1.0,0.0,16.0,019d5eda-8af4-4c59-8f9f-07ce59518ce3,Raise or lower,16.0,0.0,"[[[119.97575801624717, 30.523432370643427], [119.97550982242979, 30.523397999449553], [119.9754790549707, 30.5235606076463], [119.97572508927111, 30.523593120189002], [119.97575801624717, 30.523432370643427]]]"
1000,city/house/house.47,house.47,"rgb(255, 183, 0)",国遥大厦1栋,72fa724d-ce4d-41a2-9f0d-466d84294680,1.0,0.0,54.0,f87c26c7-9e48-43a5-a653-e4fe9ea54e03,Raise or lower,54.0,0.0,"[[[119.97630326464264, 30.523939568592265], [119.9766397946545, 30.52398860416501], [119.97669474205824, 30.523698211198933], [119.97635479267664, 30.52364998586815], [119.97630326464264, 30.523939568592265]]]"
1000,city/house/house.48,house.48,"rgb(255, 183, 0)",A区22栋,7930fb06-dda3-42cf-80c6-a9d81b07e004,1.0,0.0,18.0,0682bfe5-dbc0-4327-a1a5-ac4ddd345099,Raise or lower,18.0,0.0,"[[[119.97526662361417, 30.522183286353197], [119.9754836870571, 30.52221376575183], [119.9755330541496, 30.521943967921025], [119.97531510238738, 30.521914111884676], [119.97526662361417, 30.522183286353197]]]"
1000,city/house/house.49,house.49,"rgb(189, 186, 0)",,7eba3f5a-9eca-4442-a171-60bcb6b0a6aa,1.0,0.0,8.0,0757bad1-8e5b-4a87-af9e-4cb09fee12dd,Raise or lower,8.0,0.0,"[[[119.97301263926042, 30.520387052550646], [119.97335606532427, 30.52035883762608], [119.97334857688847, 30.520288149642113], [119.97300455969246, 30.520315804083705], [119.97301263926042, 30.520387052550646]]]"
1000,city/house/house.50,house.50,"rgb(189, 186, 0)",,82856fc2-2c4c-42e4-afa1-319bc4400f3d,1.0,0.0,4.0,ec3447b3-e6c7-4d44-ae13-0148b69178f9,Raise or lower,4.0,0.0,"[[[119.97447058797101, 30.521953018608755], [119.97454815021669, 30.521953441288943], [119.97454982979897, 30.521593660508856], [119.97447128747991, 30.521593214971972], [119.97447058797101, 30.521953018608755]]]"
1000,city/house/house.51,house.51,"rgb(255, 183, 0)",A区27栋-中渔产业大楼,8583704f-132a-47c8-8299-ead946b66124,1.0,0.0,57.0,69c28fc6-12a4-4b25-b8a8-f1078e018dc6,Raise or lower,57.0,0.0,"[[[119.97618273895073, 30.521189540720986], [119.97584301025135, 30.521140965148494], [119.975790283416, 30.521426036250844], [119.97613120949266, 30.5214722338558], [119.97618273895073, 30.521189540720986]]]"
