"~id","~start_node_id","~end_node_id","~relationship_type"
"587","4409","6648","exist_in"
"588","4035","6648","exist_in"
"589","4410","6648","exist_in"
"590","4411","6648","exist_in"
"591","4412","6648","exist_in"
"592","4413","6648","exist_in"
"593","4020","6650","exist_in"
"594","4019","6650","exist_in"
"595","4414","6650","exist_in"
"596","4068","6650","exist_in"
"597","4415","6650","exist_in"
"598","4022","6650","exist_in"
"599","4019","6651","exist_in"
"600","4020","6651","exist_in"
"601","4022","6651","exist_in"
"602","4416","6652","exist_in"
"603","4417","6653","exist_in"
"604","4418","6653","exist_in"
"605","4419","6653","exist_in"
"606","4420","6653","exist_in"
"607","4137","6653","exist_in"
"608","4421","6653","exist_in"
"609","4020","6654","exist_in"
"610","4190","6654","exist_in"
"611","4422","6654","exist_in"
"612","4191","6654","exist_in"
"613","4423","6654","exist_in"
"614","4424","6655","exist_in"
"615","4425","6655","exist_in"
"616","4426","6655","exist_in"
"617","4427","6655","exist_in"
"618","4428","6655","exist_in"
"619","4049","6655","exist_in"
"620","4429","6655","exist_in"
"621","4430","6656","exist_in"
"622","4007","6656","exist_in"
"623","4431","6656","exist_in"
"624","4432","6656","exist_in"
"625","4433","6656","exist_in"
"626","4434","6656","exist_in"
"627","4435","6656","exist_in"
"628","4436","6657","exist_in"
"629","4437","6657","exist_in"
"630","4438","6658","exist_in"
"631","4439","6659","exist_in"
"632","4190","6659","exist_in"
"633","4030","6659","exist_in"
"634","4440","6659","exist_in"
"635","4137","6659","exist_in"
"636","4441","6659","exist_in"
"637","4191","6659","exist_in"
"638","4030","6660","exist_in"
"639","4038","6660","exist_in"
"640","4043","6660","exist_in"
"641","4442","6661","exist_in"
"642","4443","6662","exist_in"
"643","4152","6664","exist_in"
"644","4444","6664","exist_in"
"645","4445","6665","exist_in"
"646","4446","6665","exist_in"
"647","4447","6668","exist_in"
"648","4448","6668","exist_in"
"649","4449","6669","exist_in"
"650","4076","6669","exist_in"
"651","4019","6670","exist_in"
"652","4450","6670","exist_in"
"653","4451","6670","exist_in"
"654","4452","6670","exist_in"
"655","4453","6670","exist_in"
"656","4454","6671","exist_in"
"657","4455","6671","exist_in"
"658","4456","6671","exist_in"
"659","4235","6672","exist_in"
"660","4457","6672","exist_in"
"661","4458","6672","exist_in"
"662","4074","6672","exist_in"
"663","4119","6672","exist_in"
"664","4459","6672","exist_in"
"665","4137","6672","exist_in"
"666","4460","6672","exist_in"
"667","4076","6672","exist_in"
"668","4020","6673","exist_in"
"669","4320","6673","exist_in"
"670","4461","6674","exist_in"
"671","4462","6676","exist_in"
"672","4463","6676","exist_in"
"673","4464","6678","exist_in"
"674","4019","6679","exist_in"
"675","4147","6679","exist_in"
"676","4030","6681","exist_in"
"677","4039","6682","exist_in"
"678","4007","6682","exist_in"
"679","4068","6682","exist_in"
"680","4465","6683","exist_in"
"681","4466","6683","exist_in"
"682","4467","6683","exist_in"
"683","4468","6683","exist_in"
"684","4469","6683","exist_in"
"685","4470","6683","exist_in"
"686","4471","6683","exist_in"
"687","4472","6684","exist_in"
"688","4473","6684","exist_in"
"689","4474","6686","exist_in"
"690","4475","6686","exist_in"
"691","4476","6686","exist_in"
"692","4477","6686","exist_in"
"693","4478","6686","exist_in"
"694","4068","6686","exist_in"
"695","4030","6686","exist_in"
"696","4161","6686","exist_in"
"697","4137","6686","exist_in"
"698","4479","6687","exist_in"
"699","4480","6687","exist_in"
"700","4481","6687","exist_in"
"701","4074","6688","exist_in"
"702","4076","6688","exist_in"
"703","4035","6688","exist_in"
"704","4068","6689","exist_in"
"705","4119","6689","exist_in"
"706","4120","6689","exist_in"
"707","4482","6690","exist_in"
"708","4483","6690","exist_in"
"709","4484","6690","exist_in"
"710","4485","6692","exist_in"
"711","4144","6692","exist_in"
"712","4486","6693","exist_in"
"713","4007","6693","exist_in"
"714","4487","6693","exist_in"
"715","4261","6693","exist_in"
"716","4488","6693","exist_in"
"717","4489","6694","exist_in"
"718","4490","6695","exist_in"
"719","4491","6695","exist_in"
"720","4492","6695","exist_in"
"721","4493","6695","exist_in"
"722","4027","6695","exist_in"
"723","4339","6695","exist_in"
"724","4422","6696","exist_in"
"725","4423","6696","exist_in"
"726","4020","6697","exist_in"
"727","4035","6697","exist_in"
"728","4019","6698","exist_in"
"729","4022","6698","exist_in"
"730","4494","6698","exist_in"
"731","4019","6699","exist_in"
"732","4495","6700","exist_in"
"733","4030","6701","exist_in"
"734","4496","6701","exist_in"
"735","4497","6701","exist_in"
"736","4022","6702","exist_in"
"737","4498","6702","exist_in"
"738","4076","6704","exist_in"
"739","4128","6705","exist_in"
"740","4019","6705","exist_in"
"741","4499","6705","exist_in"
"742","4500","6705","exist_in"
"743","4501","6705","exist_in"
"744","4502","6705","exist_in"
"745","4503","6706","exist_in"
"746","4019","6706","exist_in"
"747","4022","6706","exist_in"
"748","4019","6707","exist_in"
"749","4030","6707","exist_in"
"750","4022","6707","exist_in"
"751","4038","6708","exist_in"
"752","4504","6708","exist_in"
"753","4505","6708","exist_in"
"754","4506","6708","exist_in"
"755","4043","6708","exist_in"
"756","4507","6708","exist_in"
"757","4011","6708","exist_in"
"758","4508","6708","exist_in"
"759","4509","6708","exist_in"
"760","4510","6709","exist_in"
"761","4511","6709","exist_in"
"762","4512","6709","exist_in"
"763","4513","6709","exist_in"
"764","4514","6709","exist_in"
"765","4515","6710","exist_in"
"766","4068","6711","exist_in"
"767","4516","6712","exist_in"
"768","4517","6712","exist_in"
"769","4518","6712","exist_in"
"770","4294","6712","exist_in"
"771","4519","6712","exist_in"
"772","4321","6713","exist_in"
"773","4520","6714","exist_in"
"774","4521","6714","exist_in"
"775","4520","6715","exist_in"
"776","4521","6715","exist_in"
"777","4522","6716","exist_in"
"778","4022","6717","exist_in"
"779","4523","6718","exist_in"
"780","4013","6718","exist_in"
"781","4030","6718","exist_in"
"782","4524","6718","exist_in"
"783","4015","6718","exist_in"
"784","4525","6721","exist_in"
"785","4068","6722","exist_in"
"786","4030","6722","exist_in"
"787","4526","6723","exist_in"
"788","4527","6723","exist_in"
"789","4528","6723","exist_in"
"790","4529","6723","exist_in"
"791","4530","6725","exist_in"
"792","4531","6725","exist_in"
"793","4532","6725","exist_in"
"794","4533","6726","exist_in"
"795","4534","6728","exist_in"
"796","4535","6728","exist_in"
"797","4536","6728","exist_in"
"798","4537","6728","exist_in"
"799","4538","6728","exist_in"
"800","4467","6729","exist_in"
"801","4539","6729","exist_in"
"802","4537","6729","exist_in"
"803","4540","6730","exist_in"
"804","4541","6730","exist_in"
"805","4521","6730","exist_in"
"806","4542","6730","exist_in"
"807","4543","6730","exist_in"
"808","4544","6730","exist_in"
"809","4020","6732","exist_in"
"810","4161","6732","exist_in"
"811","4007","6732","exist_in"
"812","4545","6732","exist_in"
"813","4546","6732","exist_in"
"814","4030","6733","exist_in"
"815","4219","6733","exist_in"
"816","4131","6733","exist_in"
"817","4547","6733","exist_in"
"818","4548","6733","exist_in"
"819","4335","6733","exist_in"
"820","4549","6733","exist_in"
"821","4550","6733","exist_in"
"822","4132","6733","exist_in"
"823","4395","6733","exist_in"
"824","4049","6733","exist_in"
"825","4020","6734","exist_in"
"826","4068","6734","exist_in"
"827","4019","6734","exist_in"
"828","4551","6734","exist_in"
"829","4342","6734","exist_in"
"830","4022","6734","exist_in"
"831","4552","6735","exist_in"
"832","4155","6735","exist_in"
"833","4553","6736","exist_in"
"834","4554","6736","exist_in"
"835","4555","6739","exist_in"
"836","4556","6739","exist_in"
"837","4557","6739","exist_in"
"838","4350","6740","exist_in"
"839","4558","6740","exist_in"
"840","4321","6740","exist_in"
"841","4559","6740","exist_in"
"842","4560","6741","exist_in"
"843","4002","6742","exist_in"
