size,path,id,color,name,coordinates,description,type,nodeVisibility
5000,LOC.39/FAC,LOC.39.FAC,#f0a73a,landslide.LOC.39.FAC,"['120.7184', '23.5116']",,FAC,FALSE
5000,LOC.39/DATA,LOC.39.DATA,#8579ec,landslide.LOC.39.DATA,"['120.7184', '23.5116']",,DATA,FALSE
10000,LOC.40,LOC.40,#2579e8,landslide.LOC.40,"['120.7879', '23.4973']",Alishan River in southern Taiwan,LOC,FALSE
5000,LOC.40/MED,LOC.40.MED,#27cf7e,landslide.LOC.40.MED,"['120.7879', '23.4973']",,MED,FALSE
5000,LOC.40/FAC,LOC.40.FAC,#f0a73a,landslide.LOC.40.FAC,"['120.7879', '23.4973']",,FAC,FALSE
5000,LOC.40/DATA,LOC.40.DATA,#8579ec,landslide.LOC.40.DATA,"['120.7879', '23.4973']",,DATA,FALSE
10000,LOC.41,LOC.41,#2579e8,landslide.LOC.41,"['79.6667', '29.6000']",Almora district,LOC,FALSE
5000,LOC.41/MED,LOC.41.MED,#27cf7e,landslide.LOC.41.MED,"['79.6667', '29.6000']",,MED,FALSE
5000,LOC.41/FAC,LOC.41.FAC,#f0a73a,landslide.LOC.41.FAC,"['79.6667', '29.6000']",,FAC,FALSE
5000,LOC.41/DATA,LOC.41.DATA,#8579ec,landslide.LOC.41.DATA,"['79.6667', '29.6000']",,DATA,FALSE
10000,LOC.42,LOC.42,#2579e8,landslide.LOC.42,"['79.0193', '30.0668']",along road corridors in the Indian Himalayas,LOC,FALSE
5000,LOC.42/MED,LOC.42.MED,#27cf7e,landslide.LOC.42.MED,"['79.0193', '30.0668']",,MED,FALSE
5000,LOC.42/FAC,LOC.42.FAC,#f0a73a,landslide.LOC.42.FAC,"['79.0193', '30.0668']",,FAC,FALSE
5000,LOC.42/DATA,LOC.42.DATA,#8579ec,landslide.LOC.42.DATA,"['79.0193', '30.0668']",,DATA,FALSE
10000,LOC.43,LOC.43,#2579e8,landslide.LOC.43,"['104.3586', '33.7856']",alpine - canyon region of Zhouqu,LOC,FALSE
5000,LOC.43/MED,LOC.43.MED,#27cf7e,landslide.LOC.43.MED,"['104.3586', '33.7856']",,MED,FALSE
5000,LOC.43/FAC,LOC.43.FAC,#f0a73a,landslide.LOC.43.FAC,"['104.3586', '33.7856']",,FAC,FALSE
